Price,Processor,RAM_GB,RAM_Type,CPU_bit,OS,Screen_size_cm,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Brand,Graphics_capa_GB,Years_warranty,Ratings
40990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,ASUS,0.5,1,4.4
38990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,ASUS,0.5,1,4.4
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
58990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.2
59990.0,Intel Evo Core i5,8,DDR4,64,Windows 10,35.56,512.0,0.0,0.0,realme,0.5,1,4.4
47990.0,Intel Core i5,8,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,acer,4.0,1,4.4
37499.0,AMD Ryzen 3 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.2
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
94990.0,AMD Ryzen 9 Octa Core,8,DDR4,64,Windows 10,35.56,1024.0,0.0,0.0,ASUS,0.5,1,4.1
32990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.3
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
35590.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
23990.0,Intel Celeron Dual Core,4,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,ASUS,0.5,1,4.0
48990.0,AMD Ryzen 5 Hexa Core,16,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,HP,0.5,1,4.3
139990.0,Apple M2,8,Unified Memory,64,Mac OS,33.78,512.0,0.0,0.0,APPLE,0.5,1,4.7
89990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.6
150990.0,AMD Ryzen 9 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.9
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
59990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.5
70990.0,AMD Ryzen 5 Hexa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,DELL,4.0,1,4.6
194990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,8.0,1,4.5
44990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.3
22990.0,Intel Celeron Quad Core,8,LPDDR4X,64,Windows 11,35.56,256.0,0.0,0.0,Infinix,0.5,1,4.2
